,No Archive Warnings Apply,Major Character Death,Graphic Depictions Of Violence,Rape/Non-Con,Choose Not To Use Archive Warnings,Underage
work_10057010,True,True,True,False,False,False
work_234222,True,False,False,False,False,False
work_14454174,False,False,True,True,False,False
work_3101099,True,False,False,False,False,False
work_12006417,False,False,False,False,True,False
work_2734082,True,False,False,False,False,False
work_4371455,True,False,False,False,False,False
work_7331278,True,False,False,False,False,False
work_20049589,True,False,False,False,False,False
work_485218,True,False,False,False,False,False
work_3171550,True,False,False,False,False,False
work_1227880,False,False,False,False,True,False
work_1651109,True,False,False,False,True,False
work_15087428,False,False,False,False,True,False
work_1439476,True,False,False,False,False,False
work_15153092,False,False,False,False,True,False
work_16138103,False,False,False,False,True,False
work_5684710,True,False,False,False,False,False
work_22230682,False,False,False,False,False,True
work_6614155,False,False,False,False,True,False
work_16052816,True,False,False,False,False,False
work_4701869,True,False,False,False,False,False
work_1319809,True,False,False,False,False,False
work_3178065,True,False,False,False,False,False
work_7548181,False,False,True,False,True,False
work_1704125,True,False,False,False,False,False
work_787368,False,False,False,False,True,False
work_10404927,True,False,False,False,False,False
work_4148136,True,False,False,False,False,False
work_8909155,False,False,False,False,True,False
work_9065263,True,False,False,False,False,False
work_1049966,True,False,False,False,False,False
work_26453452,False,False,False,False,True,False
work_7769080,True,False,False,False,False,False
work_32850244,False,False,False,False,True,False
work_30170643,False,False,False,False,True,False
work_9794657,True,False,False,False,False,False
work_6177703,False,False,False,False,True,False
work_30856244,False,False,False,False,False,True
work_39760044,False,False,True,False,False,False
work_19101535,False,False,True,True,False,False
work_11270490,False,False,True,True,False,True
work_34500952,False,False,True,False,False,False
work_3073562,False,False,False,False,True,False
work_9174820,False,False,False,False,True,False
work_392041,True,False,False,False,False,False
work_17361419,False,False,False,False,True,False
work_38344720,True,False,False,False,False,False
work_25440826,True,False,False,False,False,False
work_1134255,False,False,False,False,True,False
work_17946929,True,False,False,False,False,False
work_27300139,True,False,False,False,False,False
work_13760487,True,False,False,False,False,False
work_11472648,True,False,False,False,False,False
work_15370968,False,False,False,False,True,False
work_32897344,False,True,True,False,False,False
work_5937535,True,False,False,False,False,False
work_24481312,False,False,False,False,True,False
work_5366507,False,False,False,False,True,False
work_8017603,True,False,False,False,False,False
work_380233,True,False,False,False,False,False
work_5986366,False,False,True,False,False,False
work_6854605,False,False,False,False,True,False
work_359705,False,False,False,False,True,False
work_6239806,True,False,False,False,False,False
work_5987962,False,False,False,False,True,False
work_319467,True,False,False,False,False,False
work_17926664,True,False,False,False,False,False
work_12805206,False,False,False,False,True,False
work_16036310,True,False,False,False,False,False
work_4373594,True,False,False,False,False,False
work_7040089,False,False,True,False,False,False
work_1113588,False,False,True,False,False,False
work_3441362,True,False,False,False,False,False
work_496865,False,False,False,False,True,False
work_5744635,False,False,False,False,True,False
work_4308786,False,True,False,False,False,False
work_25010857,True,False,False,False,False,False
work_5277644,False,False,False,False,True,False
work_3390668,False,False,False,False,True,False
work_5163386,False,False,False,False,True,False
work_284278,False,False,True,True,True,True
work_22818646,True,False,False,False,False,False
work_12312867,True,False,False,False,False,False
work_12133914,True,False,False,False,False,False
work_27964796,True,False,False,False,False,False
work_7189349,False,False,False,False,True,False
work_825875,False,False,False,False,True,False
work_8662435,True,False,False,False,False,False
work_370570,True,False,False,False,False,False
work_22327684,True,False,False,False,False,False
work_2160891,False,False,True,True,False,False
work_11678955,True,False,False,False,False,False
work_8879488,True,False,False,False,False,False
work_26523892,True,False,False,False,False,False
work_987408,False,False,True,False,False,False
work_14695419,False,False,True,False,False,False
work_2435531,False,False,True,False,True,False
work_864147,True,False,False,False,True,False
work_14371158,False,False,True,False,True,False
